"SECTOR","PERIOD","COFOG","UNIT_MEAS","VALUE"
"S1311","1995","GF0301","MCHF","98.87486986"
"S1311","1995","GF0301","SHARE","0.231853262504885"
"S1311","1995","GF0302","MCHF","0"
"S1311","1995","GF0302","SHARE","0"
"S1311","1995","GF0303","MCHF","84.58354257"
"S1311","1995","GF0303","SHARE","0.198341300745509"
"S1311","1995","GF0304","MCHF","100.58151255"
"S1311","1995","GF0304","SHARE","0.235855196223401"
"S1311","1995","GF0305","MCHF","0"
"S1311","1995","GF0305","SHARE","0"
"S1311","1995","GF0306","MCHF","161.50796485"
"S1311","1995","GF0306","SHARE","0.378722607918655"
"S1311","1995","GF04","MCHF","10386.85052823"
"S1311","1995","GF04","SHARE","24.3562918012493"
"S1311","1995","GF0401","MCHF","122.41762008"
"S1311","1995","GF0401","SHARE","0.287059033744568"
"S1311","1995","GF0402","MCHF","3575.09929092"
"S1311","1995","GF0402","SHARE","8.38330746277963"
"S1311","1995","GF0403","MCHF","125.68325331"
"S1311","1995","GF0403","SHARE","0.29471666929536"
"S1311","1995","GF0404","MCHF","0"
"S1311","1995","GF0404","SHARE","0"
"S1311","1995","GF0405","MCHF","6018.0132842"
"S1311","1995","GF0405","SHARE","14.1117355270874"
"S1311","1995","GF0406","MCHF","32.12053565"
"S1311","1995","GF0406","SHARE","0.0753199573804928"
"S1311","1995","GF0407","MCHF","193.85794656"
"S1311","1995","GF0407","SHARE","0.454580597032137"
"S1311","1995","GF0408","MCHF","319.65859751"
"S1311","1995","GF0408","SHARE","0.749572553929725"
"S1311","1995","GF0409","MCHF","0"
"S1311","1995","GF0409","SHARE","0"
"S1311","1995","GF05","MCHF","401.09922423"
"S1311","1995","GF05","SHARE","0.940543981070014"
"S1311","1995","GF0501","MCHF","13.418346"
"S1311","1995","GF0501","SHARE","0.0314648939808918"
"S1311","1995","GF0502","MCHF","203.38260396"
"S1311","1995","GF0502","SHARE","0.476915118387848"
"S1311","1995","GF0503","MCHF","0"
"S1311","1995","GF0503","SHARE","0"
"S1311","1995","GF0504","MCHF","46.02876556"
"S1311","1995","GF0504","SHARE","0.10793358797103"
"S1311","1995","GF0505","MCHF","89.65829158"
